"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.191006628E0,4.804156721E-2,-8.728408813E-2,-1.396646500E-1
2.198910680E0,2.938705683E-2,-7.955932617E-2,-1.208496094E-1
2.206814733E0,3.716587275E-2,-5.750989914E-2,-1.786241531E-1
2.214657751E0,6.458163261E-3,-4.030084610E-2,-1.884832382E-1
2.222592321E0,-1.940568909E-2,-3.973579407E-2,-1.601047516E-1
2.230557409E0,-3.828910738E-2,-4.144048691E-2,-1.557435989E-1
2.238430944E0,-4.090987891E-2,-2.651596069E-2,-1.201744080E-1
2.246365514E0,-1.036722213E-2,-1.150608063E-2,-8.944225311E-2
2.254239049E0,1.477301121E-3,-1.122617722E-2,-6.567192078E-2
2.262143102E0,-3.191723675E-2,-3.754711151E-2,-6.089401245E-2
2.270077672E0,-2.866042033E-2,-3.309774399E-2,-1.133642197E-1
2.277981725E0,-1.083754376E-2,-3.126859665E-2,-1.800622940E-1
2.285885778E0,-1.195895672E-2,-5.808353424E-2,-1.917495728E-1
2.293789831E0,-6.013125181E-3,-9.898948669E-2,-1.533241272E-1
2.301663366E0,-9.684801102E-3,-7.517194748E-2,-1.221313477E-1
2.309597936E0,-4.190612584E-2,-6.092214584E-2,-6.221675873E-2
2.317471471E0,-5.748181045E-2,-6.126403809E-2,-5.722522736E-2
2.325406042E0,-9.015585482E-2,-5.701923370E-2,-3.534793854E-2
2.333279577E0,-5.630085617E-2,-4.827976227E-2,-5.638217926E-2
2.341153112E0,-4.028612375E-2,-1.354122162E-2,-4.846858978E-2
2.349087682E0,-6.307217479E-2,-1.039409637E-2,-1.096944809E-1
2.356961217E0,-4.540851340E-2,-7.404804230E-3,-1.181488037E-1
2.364895788E0,1.031257212E-2,-4.042434692E-2,-1.385126114E-1
2.372738805E0,2.581913769E-2,-6.140851974E-2,-1.589174271E-1
2.380642858E0,5.122633278E-2,-4.163217545E-2,-1.219015121E-1
2.388607946E0,2.483341098E-2,-3.587865829E-2,-1.258049011E-1
2.396511999E0,6.490021944E-3,-4.917764664E-2,-1.537199020E-1
2.404416051E0,1.473689824E-2,-7.447290421E-2,-1.840133667E-1
2.412289586E0,2.511668950E-2,-1.019330025E-1,-1.306514740E-1
2.420193639E0,5.036839843E-2,-9.608078003E-2,-3.646373749E-2
2.428189245E0,5.427979678E-2,-5.209064484E-2,5.156517029E-3
2.436062780E0,5.613375455E-2,-4.679155350E-2,-4.157352448E-2
2.444027868E0,5.266776308E-2,-6.067752838E-2,-5.715370178E-2
2.451901403E0,8.414930105E-2,-6.550836563E-2,-6.761360168E-2
2.459805456E0,9.838971496E-2,-7.307052612E-2,-7.307243347E-2
2.467740026E0,1.076573879E-1,-9.541177750E-2,-1.285486221E-1
2.475644079E0,9.990786016E-2,-9.853458405E-2,-1.960315704E-1
2.483487096E0,8.993776143E-2,-7.529211044E-2,-2.659282684E-1
2.491391149E0,8.000525832E-2,-7.782220840E-2,-2.835006714E-1
2.499264684E0,7.747508585E-2,-8.739662170E-2,-3.131332397E-1
2.507199254E0,4.861928523E-2,-8.437347412E-2,-2.928762436E-1
2.515866247E0,1.530884951E-2,-6.901454926E-2,-3.374934196E-1
2.523129430E0,-8.688185364E-3,-3.644895554E-2,-2.722539902E-1
2.531002965E0,7.827915251E-3,-1.299953461E-2,-1.905422211E-1
2.538907018E0,4.355674610E-2,-1.529693604E-3,-6.572914124E-2
2.546872106E0,4.140577465E-2,7.625102997E-3,2.790737152E-2
2.554806676E0,7.310432941E-2,-1.504659653E-2,4.663467407E-3
2.562771764E0,8.584004641E-2,-3.569364548E-2,-6.383991241E-2
2.570614782E0,1.736453921E-2,-4.463291168E-2,-1.106319427E-1
2.578518835E0,1.078610867E-2,-3.473854065E-2,-1.931324005E-1
2.586514440E0,4.415339231E-2,-9.211969376E-2,-2.635087967E-1
2.594449010E0,5.593224242E-2,-1.421132088E-1,-3.100695610E-1
2.602292028E0,6.352181733E-2,-1.987257004E-1,-3.306522369E-1
2.610196081E0,4.532616213E-2,-2.281765938E-1,-2.703514099E-1
2.618069616E0,2.973937616E-2,-2.232513428E-1,-1.938304901E-1
2.626004186E0,3.813099116E-2,-1.819319725E-1,-1.918325424E-1
2.633877721E0,-1.609042287E-3,-1.213674545E-1,-2.186193466E-1
2.641812292E0,-6.164588034E-3,-9.196090698E-2,-2.789011002E-1
2.649685827E0,7.536899298E-3,-5.285024643E-2,-1.979961395E-1
2.657589879E0,1.835537702E-2,1.024055481E-2,-1.123247147E-1
2.665554967E0,1.758359000E-2,4.424715042E-2,-7.910633087E-2
2.673428503E0,2.737374604E-2,2.763319016E-2,-5.286216736E-2
2.681271520E0,7.046937197E-2,1.296997070E-3,-4.978179932E-3
2.689236608E0,1.048551127E-1,-1.845121384E-2,-4.611015320E-3
2.697140661E0,1.009566486E-1,-1.491212845E-2,9.536743164E-4
2.705075231E0,9.939714521E-2,-3.587675095E-2,-2.664756775E-2
2.712948766E0,1.071112156E-1,-4.516220093E-2,-5.885028839E-2
2.720944372E0,9.054426849E-2,-3.545808792E-2,-8.615875244E-2
2.728848424E0,7.120703906E-2,-1.868343353E-2,-1.732492447E-1
2.736813512E0,1.117596403E-1,-1.601314545E-2,-1.527643204E-1
2.744748083E0,9.304515272E-2,-3.709077835E-2,-1.060676575E-1
2.752652135E0,9.400895238E-2,-7.000160217E-2,-6.185436249E-2
2.760617223E0,4.767236486E-2,-8.382463455E-2,-1.181583405E-1
2.768460241E0,1.568118483E-2,-8.072805405E-2,-1.075258255E-1
2.776333776E0,9.250789881E-3,-7.995653152E-2,-8.496189117E-2
2.784268346E0,-1.193140820E-2,-8.906841278E-2,-7.895946503E-2
2.792141881E0,-3.337093815E-2,-1.008944511E-1,-1.469726562E-1
2.800015417E0,-3.591916338E-2,-1.104445457E-1,-1.933622360E-1
2.807919469E0,-4.374576733E-2,-1.055421829E-1,-2.278318405E-1
2.815762487E0,-4.693717882E-2,-9.323310852E-2,-2.432880402E-1
2.823727575E0,-3.562770411E-2,-1.000070572E-1,-2.827301025E-1
